y,metric,model,layer,layer_idx,horizon,aggregation,fold,rsquared,rsquared_adj,aic,bic,delta_rsquared,delta_rsquared_adj,delta_rsquared_aic,delta_rsquared_bic,anova_baseline_rss,anova_baseline_delta_ss,anova_baseline_p,anova_surprisal_rss,anova_surprisal_delta_ss,anova_surprisal_p
meanItemRT,Surprisal,gpt2_small,,,,,full,0.23798210552925547,0.23796368283519387,2849464.925083941,2849549.533722493,0.027664445201222576,0.027662386606455813,-10323.52695814427,-10312.950878325384,318519144.00640994,11563580.683398187,0.0,,,
meanItemRT,Surprisal,gpt2_medium,,,,,full,0.24123608017492038,0.24121773614958797,2848225.8432726376,2848310.4519111896,0.03091841984688748,0.030916439920849914,-11562.608769447543,-11552.032689628657,317159001.11964005,12923723.570168078,0.0,,,
meanItemRT,Surprisal,gpt2_large,,,,,full,0.23948062148764615,0.23946223502200026,2848894.9634218873,2848979.5720604393,0.029162961159613254,0.029160938793262203,-10893.488620197866,-10882.91254037898,317892772.8623595,12189951.827448606,0.0,,,
meanItemRT,Surprisal,gpt2_xl,,,,,full,0.23539952049110235,0.23538103535995836,2850444.5879012076,2850529.1965397596,0.025081860163069458,0.025079739131220302,-9343.8641408775,-9333.288061058614,319598649.85744727,10484074.832360864,0.0,,,
meanItemRT,Information value,gpt2_small,All,All,All,mean,full,0.3268375269161893,0.3265211955396763,2813823.6780988406,2815272.601034045,0.11651986658815638,0.11621989931093824,-45964.77394324448,-44589.88356677303,281378083.4540825,48704641.23572564,0.0,281378083.4540825,37141060.552327454,0.0
meanItemRT,Information value,gpt2_small,All,All,All,min,full,0.2778358034321492,0.2774964452481996,2834169.0746894903,2835617.997624695,0.0675181431041163,0.06719514901946155,-25619.377352594864,-24244.486976123415,301860525.0505698,28222199.639238358,0.0,301860525.0505698,16658618.95584017,0.0
meanItemRT,Information value,gpt2_small,All,All,All,max,full,0.30293369550333005,0.3026061312785864,2823927.1481948136,2825376.071130018,0.09261603517529715,0.09230483504984832,-35861.30384727148,-34486.413470800035,291369748.9718399,38712975.717968225,0.0,291369748.9718399,27149395.03457004,0.0
meanItemRT,Information value,gpt2_medium,All,All,All,mean,full,0.32254159907296576,0.3222232489612701,2815665.624761705,2817114.5476969094,0.11222393874493286,0.11192195273253203,-44122.8272803803,-42747.93690390885,283173756.84871745,46908967.84109068,0.0,283173756.84871745,33985244.2709226,0.0
meanItemRT,Information value,gpt2_medium,All,All,All,min,full,0.287067419669625,0.2867323995912422,2830443.8316762177,2831892.7546114223,0.07674975934159212,0.07643110336250414,-29344.62036586739,-27969.729989395943,298001761.99120784,32080962.698600292,0.0,298001761.99120784,19157239.128432214,0.0
meanItemRT,Information value,gpt2_medium,All,All,All,max,full,0.29255676259488206,0.29222432205928894,2828205.773764847,2829654.6967000514,0.08223910226684916,0.08192302583055089,-31582.678277238272,-30207.787900766823,295707247.88281554,34375476.80699259,0.0,295707247.88281554,21451753.236824512,0.0
meanItemRT,Information value,gpt2_large,All,All,All,mean,full,0.3426613900622245,0.34235249460885175,2806936.047786043,2808384.9707212476,0.13234372973419162,0.1320511983801137,-52852.40425604209,-51477.513879570644,274763798.6968323,55318925.99297583,0.0,274763798.6968323,43128974.165527225,0.0
meanItemRT,Information value,gpt2_large,All,All,All,min,full,0.28768382654957625,0.28734909613207715,2830193.377141401,2831642.3000766058,0.07736616622154335,0.0770477999033391,-29595.074900683947,-28220.1845242125,297744107.4227438,32338617.267064333,0.0,297744107.4227438,20148665.439615726,0.0
meanItemRT,Information value,gpt2_large,All,All,All,max,full,0.2991130560286459,0.2987836964154299,2825509.840741745,2826958.76367695,0.08879539570061301,0.08848240018669185,-34278.61130033992,-32903.72092386847,292966754.5328165,37115970.1569916,0.0,292966754.5328165,24926018.329542994,0.0
meanItemRT,Information value,gpt2_xl,All,All,All,mean,full,0.3320644868881151,0.33175061175583587,2811566.6190143577,2813015.5419495623,0.12174682656008218,0.12144931552709781,-48221.833027727436,-46846.94265125599,279193243.92722344,50889480.76258469,0.0,279193243.92722344,40405405.93022382,0.0
meanItemRT,Information value,gpt2_xl,All,All,All,min,full,0.2848313811068298,0.2844953102729686,2831350.550694842,2832799.4736300465,0.07451372077879692,0.07419401404423054,-28437.901347243227,-27063.01097077178,298936413.3873952,31146311.302412927,0.0,298936413.3873952,20662236.470052063,0.0
meanItemRT,Information value,gpt2_xl,All,All,All,max,full,0.30344412431875845,0.30311679995386465,2823715.047437826,2825163.9703730308,0.09312646399072555,0.09281550372512659,-36073.40460425895,-34698.5142277875,291156392.63133115,38926332.058476985,0.0,291156392.63133115,28442257.22611612,0.0
meanItemRT,Information value,gpt2_small,0,0,All,mean,full,0.25781211837436946,0.25777110388855784,2841848.2076263353,2842028.0009832587,0.04749445804633656,0.047469807659819785,-17940.244415749796,-17834.48361755954,310230311.4699395,19852413.21986866,0.0,310230311.4699395,8288832.536470473,0.0
meanItemRT,Information value,gpt2_small,1,1,All,mean,full,0.2619242854445111,0.2618834982036089,2840239.4712782614,2840419.264635185,0.05160662511647818,0.051582201974870845,-19548.980763823725,-19443.21996563347,308511449.03285384,21571275.65695429,0.0,308511449.03285384,10007694.973556101,0.0
meanItemRT,Information value,gpt2_small,2,2,All,mean,full,0.2608607865235234,0.2608199405119751,2840656.3843441205,2840836.177701044,0.050543126195490506,0.050518644283237046,-19132.06769796461,-19026.306899774354,308955985.5305171,21126739.15929103,0.0,308955985.5305171,9563158.475892842,0.0
meanItemRT,Information value,gpt2_small,3,3,All,mean,full,0.24761176887986858,0.24757019070647868,2845800.5615135864,2845980.35487051,0.03729410855183568,0.03726889447774062,-13987.890528498683,-13882.129730308428,314493999.518645,15588725.171163142,0.0,314493999.518645,4025144.4877649546,0.0
meanItemRT,Information value,gpt2_small,4,4,All,mean,full,0.2477433806700745,0.24770180976976208,2845749.9076169925,2845929.700973916,0.03742572034204161,0.03740051354102403,-14038.544425092638,-13932.783626902383,314438986.5392101,15643738.15059805,0.0,314438986.5392101,4080157.467199862,0.0
meanItemRT,Information value,gpt2_small,5,5,All,mean,full,0.24708904587087366,0.2470474388109768,2846001.656328658,2846181.4496855815,0.03677138554284076,0.03674614258223874,-13786.795713427011,-13681.034915236756,314712494.7621106,15370229.92769754,0.0,314712494.7621106,3806649.244299352,0.0
meanItemRT,Information value,gpt2_small,6,6,All,mean,full,0.24560783518579776,0.2455661462718366,2846570.7299347436,2846750.523291667,0.03529017485776487,0.03526485004309854,-13217.722107341513,-13111.961309151258,315331632.40038246,14751092.289425671,0.0,315331632.40038246,3187511.606027484,0.0
meanItemRT,Information value,gpt2_small,7,7,All,mean,full,0.24596620190725227,0.2459245327972075,2846433.1497945124,2846612.943151436,0.03564854157921937,0.03562323656846944,-13355.30224757269,-13249.541449382436,315181837.14992136,14900887.539886773,0.0,315181837.14992136,3337306.8564885855,0.0
meanItemRT,Information value,gpt2_small,8,8,All,mean,full,0.2468687736500672,0.2468271544175762,2846086.354622686,2846266.147979609,0.03655111332203431,0.036525858188838134,-13702.097419399302,-13596.336621209048,314804567.2970586,15278157.392749548,0.0,314804567.2970586,3714576.709351361,0.0
meanItemRT,Information value,gpt2_small,9,9,All,mean,full,0.24657454835108394,0.24653291285923373,2846199.450456932,2846379.2438138556,0.03625688802305105,0.03623161663049568,-13589.001585152932,-13483.240786962677,314927551.79789144,15155172.891916692,0.0,314927551.79789144,3591592.208518505,0.0
meanItemRT,Information value,gpt2_small,10,10,All,mean,full,0.2445798236427582,0.24453807791923987,2846965.030275471,2847144.8236323944,0.034262163314725314,0.034236781690501816,-12823.421766614076,-12717.660968423821,315761335.3759866,14321389.313821554,0.0,315761335.3759866,2757808.630423367,0.0
meanItemRT,Information value,gpt2_small,11,11,All,mean,full,0.2421622829019624,0.24212040358128784,2847890.182693322,2848069.9760502456,0.031844622573929504,0.03181910735254978,-11898.26934876293,-11792.508550572675,316771853.6498307,13310871.039977431,0.0,316771853.6498307,1747290.3565792441,0.0
meanItemRT,Information value,gpt2_small,12,12,All,mean,full,0.23191324761675125,0.231870801918044,2851779.8149836906,2851959.608340614,0.021595587288718354,0.021569505689305934,-8008.637058394495,-7902.876260204241,321055892.0820309,9026832.607777238,0.0,321055892.0820309,-2536748.0756209493,1.0
meanItemRT,Information value,gpt2_medium,0,0,All,mean,full,0.2561492506195632,0.2561081442410279,2842496.2148671523,2842676.0082240757,0.04583159029153028,0.04580684801228985,-17292.237174932845,-17186.47637674259,310925380.72972983,19157343.9600783,0.0,310925380.72972983,6233620.389910221,0.0
meanItemRT,Information value,gpt2_medium,2,1,All,mean,full,0.26228691790647973,0.2622461507052257,2840097.174671782,2840276.9680287056,0.05196925757844684,0.05194485447648767,-19691.277370302938,-19585.516572112683,308359870.72712994,21722853.962678194,0.0,308359870.72712994,8799130.392510116,0.0
meanItemRT,Information value,gpt2_medium,4,2,All,mean,full,0.2487437591514502,0.24870224353364778,2845364.5984662245,2845544.391823148,0.0384260988234173,0.03840094730490973,-14423.853575860616,-14318.092777670361,314020834.02614933,16061890.663658798,0.0,314020834.02614933,3138167.09349072,0.0
meanItemRT,Information value,gpt2_medium,6,3,All,mean,full,0.245925477131415,0.24588380577085422,2846448.787687313,2846628.581044236,0.0356078168033821,0.03558250954211617,-13339.664354772307,-13233.903556582052,315198859.87449735,14883864.815310776,0.0,315198859.87449735,1960141.2451426983,0.0
meanItemRT,Information value,gpt2_medium,8,4,All,mean,full,0.24530036498623553,0.24525865908098077,2846688.718369972,2846868.5117268953,0.034982704658202635,0.03495736285224271,-13099.733672113158,-12993.972873922903,315460153.1942938,14622571.495514333,0.0,315460153.1942938,1698847.9253462553,0.0
meanItemRT,Information value,gpt2_medium,10,5,All,mean,full,0.2436371802397871,0.24359538242429124,2847326.115815903,2847505.9091728264,0.03331951991175419,0.033294086195553185,-12462.336226182058,-12356.575427991804,316155354.95478684,13927369.735021293,0.0,316155354.95478684,1003646.1648532152,9.567597740030525e-192
meanItemRT,Information value,gpt2_medium,12,6,All,mean,full,0.24440506671115403,0.244363311330289,2847032.0060385903,2847211.7993955137,0.03408740638312113,0.034062015101550935,-12756.446003494784,-12650.68520530453,315834382.77903,14248341.910778105,0.0,315834382.77903,1324618.3406100273,3.4706039325252833e-255
meanItemRT,Information value,gpt2_medium,14,7,All,mean,full,0.24598607356078117,0.24594440554887576,2846425.5189784034,2846605.312335327,0.035668413232748275,0.0356431093201377,-13362.933063681703,-13257.172265491448,315173530.911816,14909193.77799213,0.0,315173530.911816,1985470.2078240514,0.0
meanItemRT,Information value,gpt2_medium,16,8,All,mean,full,0.24728491534856,0.2472433191127228,2845926.3204746405,2846106.113831564,0.03696725502052711,0.03694202288398474,-13862.131567444652,-13756.370769254398,314630622.43493515,15452102.254872978,0.0,314630622.43493515,2528378.6847049,0.0
meanItemRT,Information value,gpt2_medium,18,9,All,mean,full,0.2442083671605636,0.24416660090976772,2847107.372804132,2847287.166161055,0.033890706832530704,0.03386530468102966,-12681.079237953294,-12575.31843976304,315916602.0719563,14166122.617851853,0.0,315916602.0719563,1242399.0476837754,6.425285035168898e-239
meanItemRT,Information value,gpt2_medium,20,10,All,mean,full,0.24055738468196908,0.24051541667205967,2848502.721903258,2848682.5152601814,0.03023972435393618,0.030214120443321613,-11285.730138827115,-11179.96934063686,317442691.9739159,12640032.715892255,0.0,317442691.9739159,-283690.85427582264,1.0
meanItemRT,Information value,gpt2_medium,22,11,All,mean,full,0.23876647025573272,0.23872440327703648,2849184.7313141436,2849364.524671067,0.028448809927699825,0.028423107048298424,-10603.720727941487,-10497.959929751232,318191284.0137783,11891440.676029801,0.0,318191284.0137783,-1032282.8941382766,1.0
meanItemRT,Information value,gpt2_medium,24,12,All,mean,full,0.231358780413086,0.2313163040736369,2851988.759486854,2852168.5528437775,0.0210411200850531,0.021015007844898848,-7799.692555231042,-7693.9317570407875,321287656.2182442,8795068.471563935,0.0,321287656.2182442,-4128655.0986041427,1.0
meanItemRT,Information value,gpt2_large,0,0,All,mean,full,0.26692008279814383,0.2668795716329696,2838272.944206562,2838452.7375634853,0.056602422470110936,0.05657827540423155,-21515.507835523225,-21409.74703733297,306423234.16512585,23659490.524682283,0.0,306423234.16512585,11469538.697233677,0.0
meanItemRT,Information value,gpt2_large,3,1,All,mean,full,0.2646811150835331,0.26464048018943276,2839155.935072924,2839335.7284298474,0.054363454755500196,0.054339183960694704,-20632.516969161108,-20526.756170970853,307359109.93010527,22723614.75970286,0.0,307359109.93010527,10533662.932254255,0.0
meanItemRT,Information value,gpt2_large,6,2,All,mean,full,0.2635094673388749,0.26346876769765193,2839616.931585695,2839796.7249426185,0.05319180701084203,0.053167471468913874,-20171.52045638999,-20065.759658199735,307848852.02069587,22233872.669112265,0.0,307848852.02069587,10043920.841663659,0.0
meanItemRT,Information value,gpt2_large,9,3,All,mean,full,0.27112407836239993,0.27108379951672423,2836607.6872480214,2836787.4806049448,0.06080641803436704,0.06078250328798618,-23180.764794063754,-23075.0039958735,304665987.9400045,25416736.749803603,0.0,304665987.9400045,13226784.922354996,0.0
meanItemRT,Information value,gpt2_large,12,4,All,mean,full,0.2619315361641803,0.2618907493239645,2840236.626788366,2840416.4201452895,0.051613875836147405,0.051589453095226445,-19551.825253719,-19446.064455528744,308508418.2732887,21574306.416519403,0.0,308508418.2732887,9384354.589070797,0.0
meanItemRT,Information value,gpt2_large,15,5,All,mean,full,0.2529183941619261,0.25287710924111106,2843751.124544965,2843930.9179018885,0.04260073383389318,0.04257581301237301,-16037.327497120015,-15931.56669892976,312275860.3454466,17806864.344361544,0.0,312275860.3454466,5616912.516912937,0.0
meanItemRT,Information value,gpt2_large,18,6,All,mean,full,0.2506926176520766,0.2506512097313026,2844612.493938921,2844792.2872958444,0.040374957324043725,0.04034991350256456,-15175.9581031641,-15070.197304973844,313206222.26189375,16876502.42791438,0.0,313206222.26189375,4686550.600465775,0.0
meanItemRT,Information value,gpt2_large,21,7,All,mean,full,0.24862214030603313,0.2485806179673794,2845411.4689787077,2845591.262335631,0.03830447997800024,0.03827932173864135,-14376.98306337744,-14271.222265187185,314071670.01152235,16011054.678285778,0.0,314071670.01152235,3821102.850837171,0.0
meanItemRT,Information value,gpt2_large,24,8,All,mean,full,0.2461137732059695,0.24607211225095005,2846376.4768656697,2846556.270222593,0.0357961128779366,0.03577081602221199,-13411.975176415406,-13306.214378225151,315120153.1867384,14962571.503069758,0.0,315120153.1867384,2772619.675621152,0.0
