y,metric,model,layer,layer_idx,horizon,aggregation,fold,rsquared,rsquared_adj,aic,bic,delta_rsquared,delta_rsquared_adj,delta_rsquared_aic,delta_rsquared_bic,anova_rss,anova_delta_ss,anova_p
meanItemRT,Information value,gpt2_small,All,All,All,mean,full,0.33851902497063524,0.3382058962589448,2808756.9798491383,2810216.478864162,0.10053691944137977,0.10024221342375095,-40707.94523480255,-39333.05485833064,276495283.7350563,42023860.27135366,0.0
meanItemRT,Information value,gpt2_small,All,All,All,min,full,0.2893150848428677,0.2889786642044797,2829531.5274532065,2830991.0264682304,0.05133297931361225,0.05101498136928584,-19933.39763073437,-18558.507254262455,297062250.7380088,21456893.268401146,0.0
meanItemRT,Information value,gpt2_small,All,All,All,max,full,0.3185231839944015,0.31820058974679943,2817380.041136581,2818839.540151605,0.08054107846514602,0.08023690691160557,-32084.883947359864,-30709.99357088795,284853431.48677266,33665712.51963729,0.0
meanItemRT,Information value,gpt2_small,0,0,All,mean,full,0.26696259099252084,0.2669195502267544,2838258.1540016453,2838448.5234383876,0.02898048546326537,0.02895586739156053,-11206.77108229557,-11101.010284105316,306405465.9817479,12113678.024662018,0.0
meanItemRT,Information value,gpt2_small,1,1,All,mean,full,0.2675145155104848,0.2674715071513235,2838040.0622877376,2838230.43172448,0.0295324099812293,0.02950782431612964,-11424.862796203233,-11319.101998012979,306174764.6736899,12344379.332720041,0.0
meanItemRT,Information value,gpt2_small,2,2,All,mean,full,0.269227817407948,0.2691849096464163,2837362.0066192755,2837552.376056018,0.031245711878692517,0.031221226811222413,-12102.918464665301,-11997.157666475046,305458614.2292393,13060529.777170658,0.0
meanItemRT,Information value,gpt2_small,3,3,All,mean,full,0.2641417259857781,0.26409851959109765,2839370.254275838,2839560.62371258,0.026159620456522648,0.02613483675590378,-10094.670808102936,-9988.91000991268,307584571.5038425,10934572.50256747,0.0
meanItemRT,Information value,gpt2_small,4,4,All,mean,full,0.2639316978145265,0.26388847908790614,2839452.885363984,2839643.254800726,0.02594959228527105,0.025924796252712268,-10012.039719956927,-9906.278921766672,307672362.0843652,10846781.922044754,0.0
meanItemRT,Information value,gpt2_small,5,5,All,mean,full,0.26254374203542075,0.2625004418140787,2839998.3548290646,2840188.724265807,0.024561636506165274,0.024536758978884854,-9466.570254876278,-9360.809456686024,308252519.70256203,10266624.303847909,0.0
meanItemRT,Information value,gpt2_small,6,6,All,mean,full,0.2606643567597876,0.2606209461891231,2840735.323145979,2840925.6925827214,0.022682251230532136,0.022657263353929258,-8729.601937961765,-8623.84113977151,309038092.05407315,9481051.952336788,0.0
