y,metric,model,aggregation,dist_metric,fold,loglik,delta_loglik,rsquared,delta_rsquared,rsquared_adj,delta_rsquared_adj,aic,bic,anova_p_vs_baseline,anova_p_ias_vs_surprisal,anova_p_surprisal_vs_ias,anova_p_both_vs_ias,anova_p_both_vs_surprisal
rating_mean,Baseline,,,,full,-0.9777115922552575,,0.21611211037122702,,0.21288844530078654,,2880.650388492415,2917.682438669541,,,,,
rating_mean,Surprisal,gpt2_small,,,full,-0.7288370703210788,0.2488745219341787,0.5234765340652889,0.3073644236940619,0.5211886984949576,0.3083002531941711,2152.950290181403,2195.2726332409757,8.612765788352637e-160,,,,
rating_mean,IAS (mean),gpt2_small,Smean,cosine_std,full,-0.7457968289108916,0.2319147633443659,0.5070358341422556,0.2909237237710286,0.4565895387647889,0.24370109346400237,2460.676302366734,3185.446427261918,3.344600562805706e-69,1.0,,,
rating_mean,Surprisal + IAS (mean),gpt2_small,Smean,cosine_std,full,-0.6266048230266777,0.35110676922857975,0.6115934991672397,0.3954813887960127,0.5715244550301251,0.3586360097293385,2113.205341114219,2843.2657588918496,5.491201426444573e-129,,,8.562896811523303e-71,1.5643083082780606e-13
rating_mean,IAS (min),gpt2_small,Smin,cosine_std,full,-0.7800707911422038,0.1976408011130537,0.47205906602521075,0.25594695565398373,0.41803350769520975,0.2051450623944232,2561.1675596289415,3285.937684524125,5.818818092515256e-53,1.0,,,
rating_mean,Surprisal + IAS (min),gpt2_small,Smin,cosine_std,full,-0.6482134949033467,0.3294980973519108,0.5944395987328381,0.3783274883616111,0.5526009127587408,0.33971246745795425,2176.5619670566125,2906.622384834243,9.212031571419077e-118,,,4.062919313123065e-78,5.496363366793748e-07
rating_mean,Surprisal,gpt2_medium,,,full,-0.7066006087913151,0.27111098346394236,0.5442045905833208,0.3280924802120938,0.5420162724311145,0.32912782713032795,2087.752984976136,2130.0753280357085,6.932045826190399e-174,,,,
rating_mean,IAS (mean),gpt2_medium,Smean,cosine_std,full,-0.7113563256970667,0.26635526655819075,0.5398486398859299,0.3237365295147029,0.4927601636063862,0.27987171830559965,2359.6967469437996,3084.466871838983,4.010019209785892e-86,1.0,,,
rating_mean,Surprisal + IAS (mean),gpt2_medium,Smean,cosine_std,full,-0.6048241276291977,0.3728874646260598,0.6281498007622268,0.4120376903909998,0.5897887485818241,0.3769003032810375,2049.3443422088076,2779.404759986438,2.103421327932257e-140,,,1.801585334558885e-63,2.2220415252400328e-13
rating_mean,IAS (min),gpt2_medium,Smin,cosine_std,full,-0.7385711027746672,0.2391404894805903,0.5141086529128973,0.2979965425416703,0.4643861373343826,0.25149769203359607,2439.490473335324,3164.2605982305076,1.0430791549566467e-72,1.0,,,
rating_mean,Surprisal + IAS (min),gpt2_medium,Smin,cosine_std,full,-0.6166473251821151,0.36106426707314243,0.6192520993426487,0.40313998897142167,0.5799731366995333,0.3670846913987468,2084.0099574339615,2814.070375211592,3.4062815471430874e-134,,,2.253041415974745e-72,1.2551831681897976e-09
rating_mean,Surprisal,gpt2_large,,,full,-0.6954869407901119,0.28222465146514564,0.554223944023595,0.33811183365236797,0.5520837297630772,0.33919528446229064,2055.167710396608,2097.4900534561807,6.268457828080491e-181,,,,
rating_mean,IAS (mean),gpt2_large,Smean,cosine_std,full,-0.6958009574979118,0.2819106347573457,0.5539438938333338,0.33783178346210674,0.5082978212684981,0.29540937596771155,2314.0884073838774,3038.8585322790614,6.377812586783539e-94,1.0,,,
rating_mean,Surprisal + IAS (mean),gpt2_large,Smean,cosine_std,full,-0.5863191405814614,0.3913924516737961,0.6416604112008617,0.4255483008296347,0.6046931494045651,0.39180470410377854,1995.0877201848448,2725.148137962475,3.558785839233551e-150,,,3.5416856500381953e-65,6.48094547227666e-16
rating_mean,IAS (min),gpt2_large,Smin,cosine_std,full,-0.7387671900015077,0.2389444022537498,0.5139180613691812,0.29780595099795415,0.46417604206610263,0.2512875967653161,2440.0654010844205,3164.8355259796044,1.2995546144817995e-72,1.0,,,
rating_mean,Surprisal + IAS (min),gpt2_large,Smin,cosine_std,full,-0.6084464423491915,0.36926514990606596,0.6254461020390945,0.40933399166786744,0.5868061291319829,0.3739176838311964,2059.9649689678295,2790.02538674546,1.6913577851698364e-138,,,3.1422723177472077e-77,9.053023714386086e-09
rating_mean,Surprisal,gpt2_xl,,,full,-0.6977517402685144,0.2799598519867431,0.5522001772998343,0.33608806692860727,0.5500502467381736,0.33716180143738705,2061.8081024672842,2104.130445526857,1.7081826686863605e-179,,,,
rating_mean,IAS (mean),gpt2_xl,Smean,cosine_std,full,-0.6991269026801598,0.27858468957509774,0.5509668871347325,0.3348547767635055,0.5050161697911084,0.29212772449032187,2323.8400786582283,3048.6102035534122,3.0150737885810633e-92,1.0,,,
rating_mean,Surprisal + IAS (mean),gpt2_xl,Smean,cosine_std,full,-0.5882451687109658,0.38946642354429173,0.640277404946153,0.424165294574926,0.6031674685588209,0.3902790232580343,2000.7348346605518,2730.795252438182,3.7257556880314775e-149,,,5.48744081573772e-66,4.924491334432334e-16
rating_mean,IAS (min),gpt2_xl,Smin,cosine_std,full,-0.7338383548681057,0.24387323738715183,0.5186861570741746,0.30257404670294763,0.4694320693105085,0.25654362400972197,2425.614056473286,3150.3841813684694,5.110209029464877e-75,1.0,,,
rating_mean,Surprisal + IAS (min),gpt2_xl,Smin,cosine_std,full,-0.6162313115055225,0.36148028074973504,0.6195687602571245,0.40345664988589747,0.5803224651932887,0.36743401989250213,2082.790205334192,2812.850623111822,2.06191822114156e-134,,,7.067975595111642e-70,3.1641402275566286e-07
rating_sd,Baseline,,,,full,0.23271372259442227,,0.18401124137131453,,0.1806555645023823,,-668.3166346468461,-631.2845844697199,,,,,
rating_sd,Surprisal,gpt2_small,,,full,0.3480827689532589,0.11536904635883663,0.3521478634607823,0.16813662208946778,0.3490374622565473,0.168381897754165,-1004.5786785709552,-962.2563355113824,4.0740149646598243e-75,,,,
rating_sd,IAS (mean),gpt2_small,Smean,cosine_std,full,0.4079973138533409,0.17528359125891865,0.42530848788429043,0.2412972465129759,0.3664988222351283,0.18584325773274601,-922.2481242179956,-197.4779993228119,8.548270256292887e-43,0.014156680246955836,,,
rating_sd,Surprisal + IAS (mean),gpt2_small,Smean,cosine_std,full,0.4310619629669349,0.1983482403725126,0.4512164519420261,0.26720521057071156,0.3946024865173706,0.21394692201498833,-987.8736754190531,-257.81325764142275,6.1283156107385265e-53,,,5.060835443098332e-15,1.268950423234385e-07
