y,metric,model,layer,layer_idx,horizon,aggregation,dist_metric,fold,loglik,rsquared,rsquared_adj,aic,bic,delta_loglik,delta_rsquared,delta_rsquared_adj,delta_aic,delta_bic,anova_rss,anova_delta_ss,anova_p
rating_mean,Information value,gpt2_small,All,All,1,mean,cosine_std,full,-0.8425282755169707,0.40181541390176967,0.39395545046064495,2510.292903815758,2616.09876146469,0.13518331673828676,0.18570330353054265,0.1810670051598584,-370.3574846766569,-301.583677204851,462.8820949271189,143.69934660768507,8.991314056454382e-76
rating_mean,Information value,gpt2_small,All,All,2,mean,cosine_std,full,-0.8522204551102985,0.3901068743817635,0.3820930642941104,2538.7103743833954,2644.5162320323275,0.12549113714495896,0.17399476401053648,0.16920461899332384,-341.94001410901956,-273.1662066372137,471.942297124752,134.63914441005198,7.687882039699185e-70
rating_mean,Information value,gpt2_small,All,All,3,mean,cosine_std,full,-0.8368644747990127,0.4085531770843124,0.40078174580118786,2493.6866401107054,2599.4924977596374,0.14084711745624479,0.19244106671308536,0.18789330050040132,-386.9637483817096,-318.1899409099037,457.6683364827547,148.91310505204927,3.031437685271217e-79
rating_mean,Information value,gpt2_small,All,All,4,mean,cosine_std,full,-0.8421653744035454,0.402249420086047,0.39439515935412095,2509.2288777511953,2615.0347354001274,0.13554621785171206,0.18613730971482,0.1815067140533344,-371.42151074121966,-302.6477032694138,462.5462559629289,144.03518557187505,5.3885001870671744e-76
rating_mean,Information value,gpt2_small,All,All,5,mean,cosine_std,full,-0.8460310197833023,0.3976101257931489,0.3896949061458943,2520.5629500046425,2626.3688076535745,0.1316805724719552,0.1814980154219219,0.17680646084510776,-360.0874384877725,-291.3136310159666,466.1361951074449,140.44524642735905,1.2563946283275862e-73
rating_mean,Information value,gpt2_small,All,All,6,mean,cosine_std,full,-0.850897601104746,0.391718340835286,0.3837257049264827,2534.831766439115,2640.6376240880472,0.1268139911505115,0.175606230464059,0.17083725962569618,-345.8186220532998,-277.04481458149394,470.6953258967291,135.88611563807484,1.1938499364704861e-70
rating_mean,Information value,gpt2_small,All,All,7,mean,cosine_std,full,-0.8549006746395308,0.38682880134376196,0.3787719183738667,2546.5687780431044,2652.3746356920365,0.12281091761572671,0.17071669097253495,0.16588347307308016,-334.0816104493106,-265.3078029775047,474.47890764668387,132.1025338881201,3.3405388618840976e-68
rating_mean,Information value,gpt2_small,All,All,8,mean,cosine_std,full,-0.8582070420009463,0.3827606268123831,0.374650289267041,2556.2630471467746,2662.0689047957067,0.11950455025431117,0.16664851644115608,0.16176184396625448,-324.3873413456404,-255.6135338738345,477.6269077680119,128.95453376679205,3.4909850470100436e-66
rating_mean,Information value,gpt2_small,All,All,9,mean,cosine_std,full,-0.8625170065002065,0.3774170697862289,0.3692365195275418,2568.899863058605,2674.7057207075372,0.11519458575505104,0.1613049594150019,0.15634807422675523,-311.7505254338098,-242.97671796200393,481.7618134946243,124.81962804017968,1.4867563470055218e-63
rating_mean,Information value,gpt2_small,All,All,10,mean,cosine_std,full,-0.865157702859707,0.37412026663872466,0.3658963973898559,2576.642384784661,2682.448242433593,0.11255388939555055,0.15800815626749765,0.15300795208906937,-304.00800370775414,-235.23419623594827,484.31291759015585,122.26852394464811,6.047639693813409e-62
rating_mean,Information value,gpt2_small,All,All,1,mean,cosine_std,0,-0.8437266278759986,0.4082820252884576,0.39962718193239966,2265.7508443368843,2369.4434273912307,0.13782744285369475,0.18780722265398853,0.18271728111515106,-337.5887942480467,-270.18861526272167,,,
rating_mean,Information value,gpt2_small,All,All,2,mean,cosine_std,0,-0.8549161447445803,0.39489066480047796,0.3860399508907082,2295.268789836203,2398.9613728905492,0.12663792598511303,0.1744158621660089,0.1691300500734596,-308.07084874872817,-240.6706697634031,,,
rating_mean,Information value,gpt2_small,All,All,3,mean,cosine_std,0,-0.8416939399241564,0.4106826981594236,0.4020629685713012,2260.3886135199245,2364.081196574271,0.13986013080553694,0.19020789552495454,0.1851530677540526,-342.95102506500643,-275.5508460796814,,,
rating_mean,Information value,gpt2_small,All,All,4,mean,cosine_std,0,-0.8488854784600144,0.40214525179283234,0.3934006480854142,2279.359892177518,2383.0524752318643,0.13266859226967898,0.18167044915836328,0.1764907472681656,-323.97974640741313,-256.5795674220881,,,
rating_mean,Information value,gpt2_small,All,All,5,mean,cosine_std,0,-0.8540228862084036,0.39597073788668047,0.3871358218126596,2292.9123738177686,2396.604956872115,0.12753118452128975,0.1754959352522114,0.170225920995411,-310.42726476716234,-243.0270857818373,,,
rating_mean,Information value,gpt2_small,All,All,6,mean,cosine_std,0,-0.8588225990700276,0.3901444842460279,0.3812243496814971,2305.5740163467326,2409.266599401079,0.1227314716596658,0.16966968161155882,0.1643144488642485,-297.7656222381984,-230.36544325287332,,,
rating_mean,Information value,gpt2_small,All,All,7,mean,cosine_std,0,-0.863295605739462,0.38466423201171007,0.37566393979325163,2317.3738079407008,2421.066390995047,0.1182584649902314,0.16418942937724101,0.15875403897600304,-285.9658306442302,-218.56565165890515,,,
rating_mean,Information value,gpt2_small,All,All,8,mean,cosine_std,0,-0.867052353172875,0.38002349764239896,0.37095532709213386,2327.2841076700442,2430.9766907243907,0.11450171755681837,0.1595486950079299,0.15404542627488527,-276.05553091488673,-208.65535192956168,,,
rating_mean,Information value,gpt2_small,All,All,9,mean,cosine_std,0,-0.8718630896479258,0.3740296217770708,0.36487378098705103,2339.974830491228,2443.6674135455746,0.10969098108176756,0.15355481914260172,0.14796388016980244,-263.3648080937028,-195.96462910837772,,,
rating_mean,Information value,gpt2_small,All,All,10,mean,cosine_std,0,-0.8742050063815441,0.371090803675482,0.36189197786319116,2346.1528068345133,2449.8453898888597,0.10734906434814928,0.15061600104101291,0.14498207704594257,-257.1868317504177,-189.78665276509264,,,
rating_mean,Information value,gpt2_small,All,All,1,mean,cosine_std,1,-0.8486017512633474,0.3970337473535116,0.3882143795318924,2278.6114198327105,2382.304002887057,0.1323297487335826,0.18269107454160272,0.17746465181383153,-323.08587715919066,-255.6856981738656,,,
rating_mean,Information value,gpt2_small,All,All,2,mean,cosine_std,1,-0.8563990325189398,0.3875570520283067,0.3785990720348793,2299.180647784963,2402.8732308393096,0.12453246747799018,0.17321437921639782,0.16784934431681842,-302.5166492069379,-235.11647022161287,,,
rating_mean,Information value,gpt2_small,All,All,3,mean,cosine_std,1,-0.8402540519670122,0.4070169406945291,0.3983435934067663,2256.590189088978,2360.2827721433246,0.14067744802991777,0.1926742678826202,0.1875938656887054,-345.10710790292296,-277.7069289175979,,,
