y,metric,model,layer,layer_idx,horizon,aggregation,dist_metric,fold,loglik,rsquared,rsquared_adj,aic,bic,delta_loglik,delta_rsquared,delta_rsquared_adj,delta_aic,delta_bic,anova_rss,anova_delta_ss,anova_p
rating_mean,Information value,gpt2_small,0,0,All,mean,cosine_std,full,-0.8322399038454237,0.4139983323552724,0.40752764451378476,2474.1273980747824,2564.0623770763746,0.14547168840983382,0.19788622198404537,0.19463919921299822,-406.5229904176326,-353.6200615931666,453.45481286880533,153.12662866599862,1.3722019091461437e-84
rating_mean,Information value,gpt2_small,1,1,All,mean,cosine_std,full,-0.8494365342251905,0.3934932267166439,0.38679611948922243,2524.5479183482585,2614.4828973498506,0.128275058030067,0.17738111634541687,0.1739076741884359,-356.10247014415654,-303.1995413196905,469.32189884074575,137.2595426940582,5.89122214078121e-74
rating_mean,Information value,gpt2_small,2,2,All,mean,cosine_std,full,-0.8652616049817013,0.3739901926594109,0.36707773101865915,2570.9470258063484,2660.8820048079406,0.11244998727355615,0.1578780822881839,0.1541892857178726,-309.7033626860666,-256.8004338616006,484.41357032752074,122.16787120728321,3.371204975033519e-64
rating_mean,Information value,gpt2_small,3,3,All,mean,cosine_std,full,-0.8734253486033654,0.36368512652987384,0.3566588753390374,2594.8831221050673,2684.8181011066595,0.1042862436518921,0.14757301615864682,0.14377043003825085,-285.7672663873477,-232.8643375628817,492.38774871535924,114.19369281944472,3.5379319890724054e-59
rating_mean,Information value,gpt2_small,4,4,All,mean,cosine_std,full,-0.8790783770081939,0.3564500916329977,0.34934395047780653,2611.4578013880246,2701.3927803896167,0.09863321524706359,0.14033798126177066,0.13645550517702,-269.19258710439044,-216.28965827992442,497.9863017168351,108.59513981796886,1.0459135157273186e-55
rating_mean,Information value,gpt2_small,5,5,All,mean,cosine_std,full,-0.88150302060035,0.35332175433729807,0.3461810697751151,2618.5668564002262,2708.5018354018184,0.09620857165490748,0.13720964396607105,0.13329262447432855,-262.08353209218876,-209.18060326772274,500.4070450036477,106.17439653115628,3.209613615855838e-54
rating_mean,Information value,gpt2_small,6,6,All,mean,cosine_std,full,-0.8846828692898068,0.34919597093226096,0.3420097290653985,2627.8901727577136,2717.8251517593058,0.09302872296545073,0.13308386056103394,0.12912128376461196,-252.76021573470143,-199.85728691023542,503.5996235322852,102.98181800251876,2.8503683528612353e-52
rating_mean,Information value,gpt2_small,7,7,All,mean,cosine_std,full,-0.8909497877186549,0.34098756545747333,0.3337106855729458,2646.264777591096,2736.199756592688,0.08676180453660265,0.12487545508624631,0.12082224027215926,-234.38561090131907,-181.48268207685305,509.9513818531808,96.63005968162315,1.94524240358956e-48
rating_mean,Information value,gpt2_small,8,8,All,mean,cosine_std,full,-0.8983538359822886,0.3311562337096593,0.32377079529651553,2667.97344710007,2757.9084261016624,0.07935775627296893,0.11504412333843228,0.11088234999572899,-212.67694139234482,-159.7740125678788,517.5589791418952,89.02246239290878,6.414171830740567e-44
rating_mean,Information value,gpt2_small,9,9,All,mean,cosine_std,full,-0.9085217106146837,0.31741555460509097,0.30987839026670694,2697.7856555222525,2787.7206345238446,0.06918988164057382,0.10130344423386395,0.0969899449659204,-182.86473297016255,-129.96180414569653,528.1916742621928,78.38976727261115,9.70509449498579e-38
