y,metric,model,aggregation,dist_metric,fold,loglik,delta_loglik,rsquared,delta_rsquared,rsquared_adj,delta_rsquared_adj,aic,bic,anova_p_vs_baseline,anova_p_ias_vs_surprisal,anova_p_surprisal_vs_ias,anova_p_both_vs_ias,anova_p_both_vs_surprisal
meanItemRT,Baseline,,,,full,-4.938325554642021,,0.2103176603280329,,0.21030129622873805,,2859788.452042085,2859862.4846008183,,,,,
meanItemRT,Surprisal,gpt2_small,,,full,-4.920495192668496,0.017830361973524944,0.23798210552925547,0.027664445201222576,0.23796368283519387,0.027662386606455813,2849464.925083941,2849549.533722493,0.0,,,,
meanItemRT,IAS (mean),gpt2_small,Smean,cosine_std,full,-4.854568359066846,0.08375719557517503,0.33211475372572563,0.12179709339769274,0.3318009022147541,0.12149960598601606,2811544.827598892,2812993.7505340967,0.0,0.0,,,
meanItemRT,Surprisal + IAS (mean),gpt2_small,Smean,cosine_std,full,-4.845200540309821,0.0931250143322,0.344511516347315,0.13419385601928213,0.34420122433263545,0.1338999281038974,2806121.942492337,2807581.441507361,0.0,,,0.0,0.0
meanItemRT,IAS (min),gpt2_small,Smin,cosine_std,full,-4.891312866425024,0.04701268821699678,0.2811840197684067,0.07086635944037378,0.28084623497264327,0.07054493874390522,2832823.4983209986,2834272.421256203,0.0,0.0,,,
meanItemRT,Surprisal + IAS (min),gpt2_small,Smin,cosine_std,full,-4.884262861178127,0.05406269346389436,0.29124821327758965,0.08093055294955676,0.29091270773432776,0.0806114115055897,2828742.854382531,2830202.3533975547,0.0,,,0.0,0.0
meanItemRT,Surprisal,gpt2_medium,,,full,-4.918355517153638,0.019970037488382886,0.24123608017492038,0.03091841984688748,0.24121773614958797,0.030916439920849914,2848225.8432726376,2848310.4519111896,0.0,,,,
meanItemRT,IAS (mean),gpt2_medium,Smean,cosine_std,full,-4.855329158736346,0.08299639590567498,0.3310977264186187,0.12078006609058578,0.3307833969878865,0.12048210075914845,2811985.4051659005,2813434.328101105,0.0,0.0,,,
meanItemRT,Surprisal + IAS (mean),gpt2_medium,Smean,cosine_std,full,-4.842673715536674,0.09565183910534714,0.3478157691252205,0.1374981087971876,0.3475070412619746,0.13720574503323657,2804658.663319857,2806118.162334881,0.0,,,0.0,0.0
meanItemRT,IAS (min),gpt2_medium,Smin,cosine_std,full,-4.890975760382684,0.04734979425933705,0.28166849085244505,0.07135083052441216,0.28133093371851814,0.07102963748978008,2832628.2808860913,2834077.203821296,0.0,0.0,,,
meanItemRT,Surprisal + IAS (min),gpt2_medium,Smin,cosine_std,full,-4.884273940177598,0.05405161446442275,0.2912325085821946,0.08091484825416173,0.2908969956047188,0.08059569937598077,2828749.270208967,2830208.769223991,0.0,,,0.0,0.0
meanItemRT,Surprisal,gpt2_large,,,full,-4.919510969511011,0.018814585131010197,0.23948062148764615,0.029162961159613254,0.23946223502200026,0.029160938793262203,2848894.9634218873,2848979.5720604393,0.0,,,,
meanItemRT,IAS (mean),gpt2_large,Smean,cosine_std,full,-4.839293514095165,0.09903204054685588,0.3522099274042252,0.1418922670761923,0.35190551898345135,0.1416042227547133,2802699.195425482,2804148.1183606866,0.0,0.0,,,
meanItemRT,Surprisal + IAS (mean),gpt2_large,Smean,cosine_std,full,-4.823750089570234,0.11457546507178673,0.372037888418281,0.1617202280902481,0.37174062670643626,0.1614393304776982,2793700.029369944,2795159.5283849677,0.0,,,0.0,0.0
meanItemRT,IAS (min),gpt2_large,Smin,cosine_std,full,-4.880924367913423,0.0574011867285984,0.2959647756755286,0.0856471153474957,0.2956339366277071,0.08533264039896904,2826807.539609927,2828256.462545132,0.0,0.0,,,
meanItemRT,Surprisal + IAS (min),gpt2_large,Smin,cosine_std,full,-4.871522524385456,0.06680303025656542,0.30907954428479145,0.09876188395675856,0.308752479652027,0.09845118342328896,2821364.9508265685,2822824.4498415925,0.0,,,0.0,0.0
meanItemRT,Surprisal,gpt2_xl,,,full,-4.922186897383876,0.01613865725814545,0.23539952049110235,0.025081860163069458,0.23538103535995836,0.025079739131220302,2850444.5879012076,2850529.1965397596,0.0,,,,
meanItemRT,IAS (mean),gpt2_xl,Smean,cosine_std,full,-4.846428716895767,0.0918968377462539,0.3428994260104118,0.1325817656823789,0.3425906424144912,0.13228934618575316,2806831.177096905,2808280.10003211,0.0,0.0,,,
meanItemRT,Surprisal + IAS (mean),gpt2_xl,Smean,cosine_std,full,-4.8353196783906425,0.10300587625137858,0.3573379451505212,0.1470202848224883,0.3570337248495845,0.14673242862084646,2800399.9551166645,2801859.4541316885,0.0,,,0.0,0.0
meanItemRT,IAS (min),gpt2_xl,Smin,cosine_std,full,-4.88535925584631,0.05296629879571135,0.28969236471689563,0.07937470438886274,0.28935857814827204,0.07905728191953398,2829375.774342086,2830824.6972772907,0.0,0.0,,,
meanItemRT,Surprisal + IAS (min),gpt2_xl,Smin,cosine_std,full,-4.878802438302421,0.059523116339599724,0.29894627105671734,0.08862861072868444,0.29861440958336205,0.088313113354624,2825580.7344160555,2827040.2334310794,0.0,,,0.0,0.0
sdItemRT,Baseline,,,,full,-5.53128123403925,,0.10846209551825958,,0.10844362072901692,,3203167.9000696614,3203241.9326283946,,,,,
sdItemRT,Surprisal,gpt2_small,,,full,-5.526502022777413,0.004779211261837446,0.11694319397221586,0.008481098453956282,0.11692184501769065,0.00847822428867373,3200402.268386354,3200486.877024906,0.0,,,,
sdItemRT,IAS (mean),gpt2_small,Smean,cosine_std,full,-5.485529073711183,0.045752160328067504,0.1864205116916765,0.07795841617341692,0.18603819578767145,0.07759457505865452,3176932.9155279985,3178381.838463203,0.0,0.0,,,
sdItemRT,Surprisal + IAS (mean),gpt2_small,Smean,cosine_std,full,-5.480176609939803,0.05110462409944727,0.1950833707977887,0.08662127527952912,0.19470234319966462,0.0862587224706477,3173835.3144629197,3175294.8134779437,0.0,,,0.0,0.0
sdItemRT,IAS (min),gpt2_small,Smin,cosine_std,full,-5.5052754765383565,0.026005757500893623,0.15364707720247006,0.04518498168421048,0.1532493604612829,0.04480573973226598,3188368.0179124093,3189816.940847614,0.0,0.0,,,
sdItemRT,Surprisal + IAS (min),gpt2_small,Smin,cosine_std,full,-5.502715050797249,0.028566183242000776,0.15797004673236592,0.04950795121410634,0.15757145060575817,0.04912782987674125,3186887.2804865856,3188346.7795016095,0.0,,,5e-324,0.0
sdItemRT,Surprisal,gpt2_medium,,,full,-5.525691453957723,0.005589780081526996,0.11837359084983168,0.009911495331572096,0.11835227647686186,0.009908655747844941,3199932.8696040097,3200017.4782425617,0.0,,,,
sdItemRT,IAS (mean),gpt2_medium,Smean,cosine_std,full,-5.487476682176096,0.04380455186315402,0.18324526296848553,0.07478316745022595,0.18286145495694395,0.07441783422792703,3178060.771694813,3179509.6946300175,0.0,0.0,,,
sdItemRT,Surprisal + IAS (mean),gpt2_medium,Smean,cosine_std,full,-5.480660998035699,0.050620236003551256,0.1943032088908515,0.08584111337259193,0.19392181198340175,0.08547819125438483,3174115.822640477,3175575.321655501,0.0,,,0.0,0.0
sdItemRT,IAS (min),gpt2_medium,Smin,cosine_std,full,-5.503591689774066,0.027689544265183663,0.156492439229164,0.04803034371090442,0.15609605957571215,0.04765243884669523,3187392.940364782,3188841.863299987,0.0,0.0,,,
sdItemRT,Surprisal + IAS (min),gpt2_medium,Smin,cosine_std,full,-5.501920637888962,0.029360596150287854,0.15930682342652858,0.050844727908268994,0.15890886009690197,0.05046523936788505,3186427.2375602224,3187886.7365752463,0.0,,,2.3727082891677977e-212,0.0
sdItemRT,Surprisal,gpt2_large,,,full,-5.526173722536216,0.005107511503034345,0.1175228191851776,0.009060723666918014,0.11750148424378515,0.009057863514768227,3200212.1503732773,3200296.7590118293,0.0,,,,
sdItemRT,IAS (mean),gpt2_large,Smean,cosine_std,full,-5.484766478491202,0.04651475554804829,0.187660429553542,0.07919833403528242,0.187278696309652,0.07883507558063507,3176491.298161298,3177940.2210965026,0.0,0.0,,,
sdItemRT,Surprisal + IAS (mean),gpt2_large,Smean,cosine_std,full,-5.4766039040319106,0.05467733000733954,0.20081433216756883,0.09235223664930925,0.20043601746462714,0.09199239673561022,3171766.367617071,3173225.866632095,0.0,,,0.0,0.0
sdItemRT,IAS (min),gpt2_large,Smin,cosine_std,full,-5.5008569296884655,0.03042430435078458,0.16109342678008154,0.052631331261821956,0.16069920921495673,0.05225558848593981,3185809.246268731,3187258.1692039357,0.0,0.0,,,
sdItemRT,Surprisal + IAS (min),gpt2_large,Smin,cosine_std,full,-5.498317623945875,0.03296361009337545,0.1653431069665139,0.056881011448254304,0.16494800106402374,0.05650438033500682,3184340.739391808,3185800.238406832,0.0,,,1.43e-321,0.0
sdItemRT,Surprisal,gpt2_xl,,,full,-5.5271061503434575,0.0041750836957925586,0.11587559121603719,0.007413495697777606,0.11585421645093841,0.007410595721921487,3200752.1174515956,3200836.7260901476,0.0,,,,
sdItemRT,IAS (mean),gpt2_xl,Smean,cosine_std,full,-5.4846574086042486,0.04662382543500154,0.18783761379757768,0.0793755182793181,0.18745596381580942,0.0790123430867925,3176428.136007903,3177877.0589431077,0.0,0.0,,,
sdItemRT,Surprisal + IAS (mean),gpt2_xl,Smean,cosine_std,full,-5.478909644419545,0.052371589619705006,0.1971203921039013,0.08865829658564173,0.19674032878121572,0.0882967080521988,3173101.6172640696,3174561.1162790935,0.0,,,0.0,0.0
sdItemRT,IAS (min),gpt2_xl,Smin,cosine_std,full,-5.502724667307543,0.028556566731706923,0.15795385179723498,0.049491756278975396,0.1575581588883177,0.04911453815930078,3186890.8493884634,3188339.772323668,0.0,0.0,,,
sdItemRT,Surprisal + IAS (min),gpt2_xl,Smin,cosine_std,full,-5.501143119262638,0.030138114776612213,0.16061311670370337,0.05215102118544379,0.16021577174096324,0.05177215101194632,3185976.978078755,3187436.477093779,0.0,,,4.333664757120589e-201,0.0
meanItemRT,Baseline,,,,0,-4.937218770162747,,0.21127981775959948,,0.21126165752484694,,2573233.1763835815,2573306.471416019,,,,,
meanItemRT,Surprisal,gpt2_small,,,0,-4.919489224154348,0.0177295460083986,0.23875708089819192,0.027477263138592445,0.23873663198522765,0.02747497446038072,2563994.7497585565,2564078.515509913,,,,,
meanItemRT,IAS (mean),gpt2_small,Smean,cosine_std,0,-4.853192725259626,0.08402604490312093,0.3332870993002556,0.1220072815406561,0.3329389690734037,0.12167731154855677,2529699.8100926136,2531134.298584601,,,,,
meanItemRT,Surprisal + IAS (mean),gpt2_small,Smean,cosine_std,0,-4.843940588993913,0.09327818116883346,0.34551069337089957,0.1342308756113001,0.34516643163376093,0.133904774108914,2524879.7076965594,2526324.6669074665,,,,,
meanItemRT,IAS (min),gpt2_small,Smin,cosine_std,0,-4.890103586177146,0.04711518398560077,0.2822069894426853,0.07092717168308582,0.2818321872702123,0.07057052974536537,2548937.307872494,2550371.7963644816,,,,,
meanItemRT,Surprisal + IAS (min),gpt2_small,Smin,cosine_std,0,-4.883116680826857,0.054102089335889225,0.2921675376068499,0.0808877198472504,0.29179521734028724,0.0805335598154403,2545297.8166467883,2546742.7758576954,,,,,
meanItemRT,Surprisal,gpt2_medium,,,0,-4.9173195717839135,0.019899198378833027,0.24205318932452502,0.030773371564925545,0.24203282895338185,0.030771171428534916,2562863.952978914,2562947.718730271,,,,,
meanItemRT,IAS (mean),gpt2_medium,Smean,cosine_std,0,-4.853963881021389,0.08325488914135715,0.3322580269396198,0.12097820918002034,0.3319093593732414,0.12064770184839446,2530101.727221776,2531536.215713763,,,,,
meanItemRT,Surprisal + IAS (mean),gpt2_medium,Smean,cosine_std,0,-4.841538173837838,0.09568059632490833,0.3486478606167901,0.13736804285719062,0.3483052490313573,0.13704359150651035,2523627.5977461953,2525072.5569571024,,,,,
meanItemRT,IAS (min),gpt2_medium,Smin,cosine_std,0,-4.88991632986649,0.04730244029625652,0.2824757616521322,0.0711959438925327,0.28210109982152176,0.07083944229667483,2548839.712130456,2550274.2006224436,,,,,
meanItemRT,Surprisal + IAS (min),gpt2_medium,Smin,cosine_std,0,-4.883209620595225,0.054009149567521675,0.29203595380761593,0.08075613604801646,0.2916635643279021,0.08040190680305515,2545346.255738784,2546791.214949691,,,,,
meanItemRT,Surprisal,gpt2_large,,,0,-4.918482398412685,0.018736371750061487,0.2402884165258553,0.029008598766255833,0.24026800874844478,0.029006351223597848,2563470.0042639105,2563553.770015267,,,,,
meanItemRT,IAS (mean),gpt2_large,Smean,cosine_std,0,-4.837842390467662,0.09937637969508462,0.3534446237895692,0.14216480602996973,0.35310701899812713,0.1418453614732802,2521699.3998030596,2523133.888295047,,,,,
meanItemRT,Surprisal + IAS (mean),gpt2_large,Smean,cosine_std,0,-4.822515772551485,0.11470299761126146,0.3729629598405261,0.1616831420809266,0.37263313801072817,0.16137148048588124,2513713.3504645634,2515158.3096754705,,,,,
meanItemRT,IAS (min),gpt2_large,Smin,cosine_std,0,-4.879767711969544,0.05745105819320262,0.29689271322114874,0.08561289546154927,0.29652557933339785,0.08526392180855091,2543550.374265983,2544984.86275797,,,,,
meanItemRT,Surprisal + IAS (min),gpt2_large,Smin,cosine_std,0,-4.87043102692777,0.06678774323497638,0.30990027036139833,0.09862045260179886,0.3095372775220685,0.09827561999722156,2538686.2060624305,2540131.1652733376,,,,,
meanItemRT,Surprisal,gpt2_xl,,,0,-4.921141832494499,0.016076937668247915,0.2362368454363999,0.024957027676800414,0.2362163288235276,0.024954671298680675,2564856.069394143,2564939.8351454996,,,,,
meanItemRT,IAS (mean),gpt2_xl,Smean,cosine_std,0,-4.8451869945609936,0.09203177560175302,0.3438771399159921,0.13259732215639264,0.3435345393755136,0.13227288185066666,2525527.319321255,2526961.8078132425,,,,,
meanItemRT,Surprisal + IAS (mean),gpt2_xl,Smean,cosine_std,0,-4.834203593577414,0.10301517658533221,0.3581329107578731,0.14685309299827365,0.3577952883140586,0.14653363078921167,2519804.9025294255,2521249.8617403326,,,,,
meanItemRT,IAS (min),gpt2_xl,Smin,cosine_std,0,-4.8842588393647075,0.05295993079803907,0.2905487756474078,0.0792689578878083,0.2901783292147454,0.07891667168989847,2545891.095970813,2547325.5844628005,,,,,
meanItemRT,Surprisal + IAS (min),gpt2_xl,Smin,cosine_std,0,-4.877799920780885,0.059418849381861705,0.29965441185753106,0.08837459409793158,0.2992860296909635,0.08802437216611658,2542526.785111948,2543971.744322855,,,,,
meanItemRT,Baseline,,,,1,-4.938431229083373,,0.2101522080631817,,0.21013402186528374,,2573865.095423505,2573938.3904559426,,,,,
