y,metric,model,layer,layer_idx,horizon,aggregation,dist_metric,fold,loglik,rsquared,rsquared_adj,aic,bic,delta_loglik,delta_rsquared,delta_rsquared_adj,delta_aic,delta_bic,anova_rss,anova_delta_ss,anova_p
meanItemRT,Information value,gpt2_small,All,All,1,mean,cosine_std,full,-4.915473792360304,0.24559659988682525,0.245547093051233,2846581.0422082674,2846792.5638046474,0.022851762281717036,0.035278939558792355,0.03524579682249496,-13207.409833817743,-13069.92079617083,315336328.6914241,14746395.998384058,0.0
meanItemRT,Information value,gpt2_small,All,All,2,mean,cosine_std,full,-4.894736406553643,0.27624534059007466,0.2761978450420335,2834572.0635624016,2834783.5851587816,0.04358914808837788,0.06592768026204177,0.06589654881329543,-25216.38847968355,-25078.899442036636,302525329.46882224,27557395.22098589,0.0
meanItemRT,Information value,gpt2_small,All,All,3,mean,cosine_std,full,-4.897531052123291,0.27218873888186834,0.27214097712411256,2836190.437222494,2836401.958818874,0.040794502518729736,0.061871078553835446,0.061839680895374505,-23598.014819591306,-23460.525781944394,304220965.90078586,25861758.789022267,0.0
meanItemRT,Information value,gpt2_small,All,All,4,mean,cosine_std,full,-4.90055026473093,0.2677806093247165,0.2677325582886446,2837938.857205152,2838150.378801532,0.03777528991109147,0.05746294899668358,0.05743126205990656,-21849.594836933073,-21712.10579928616,306063538.973415,24019185.716393113,0.0
meanItemRT,Information value,gpt2_small,All,All,5,mean,cosine_std,full,-4.901055547035375,0.26704028031048055,0.26699218069118813,2838231.4651770913,2838442.9867734713,0.03727000760664634,0.05672261998244765,0.056690884462450075,-21556.986864993814,-21419.497827346902,306372992.28889304,23709732.400915086,0.0
meanItemRT,Information value,gpt2_small,All,All,6,mean,cosine_std,full,-4.902136870568564,0.2654534318448535,0.2654052280904974,2838857.6574725145,2839069.1790688946,0.036188684073456656,0.055135771516820586,0.055103931861759325,-20930.79456957057,-20793.30553192366,307036285.91835624,23046438.77145189,0.0
meanItemRT,Information value,gpt2_small,All,All,7,mean,cosine_std,full,-4.90302047252951,0.26415419059481704,0.2641059015792824,2839369.3496008944,2839580.8711972744,0.03530508211251071,0.053836530266784144,0.05380460535054432,-20419.102441190742,-20281.61340354383,307579361.36818784,22503363.321620286,0.0
meanItemRT,Information value,gpt2_small,All,All,8,mean,cosine_std,full,-4.903868163229406,0.2629055931710148,0.2628572222177432,2839860.2455898225,2840071.7671862026,0.034457391412614946,0.05258793284298191,0.05255592598900516,-19928.206452262588,-19790.717414615676,308101267.98681694,21981456.702991188,0.0
meanItemRT,Information value,gpt2_small,All,All,9,mean,cosine_std,full,-4.905420828622567,0.2606131136057297,0.26056459221118367,2840759.3910136716,2840970.9126100517,0.03290472601945371,0.0502954532776968,0.05026329598244561,-19029.061028413475,-18891.571990766563,309059511.4008958,21023213.288912356,0.0
meanItemRT,Information value,gpt2_small,All,All,10,mean,cosine_std,full,-4.906704507065705,0.25871240473619683,0.25866375860986734,2841502.7666327357,2841714.288229116,0.031621047576315675,0.04839474440816394,0.04836246238112929,-18285.68540934939,-18148.196371702477,309853996.8933257,20228727.796482444,0.0
meanItemRT,Information value,gpt2_small,All,All,1,mean,cosine_std,0,-4.914249396518653,0.24669298884966784,0.24663806075549177,2561287.814472764,2561497.2288511563,0.02296937364409324,0.03541317109006836,0.03537640323064484,-11945.361910817679,-11809.242564862594,,,
meanItemRT,Information value,gpt2_small,All,All,2,mean,cosine_std,0,-4.893402692887293,0.2774551784757322,0.27740249343574763,2550422.762700543,2550632.1770789353,0.043816077275453225,0.06617536071613273,0.0661408359109007,-22810.41368303867,-22674.294337083586,,,
meanItemRT,Information value,gpt2_small,All,All,3,mean,cosine_std,0,-4.8962703084588295,0.2732993108739227,0.2732463228049159,2551917.3295250405,2552126.743903433,0.04094846170391708,0.0620194931143232,0.06198466528006896,-21315.846858541016,-21179.72751258593,,,
meanItemRT,Information value,gpt2_small,All,All,4,mean,cosine_std,0,-4.899368011484024,0.2687831296849491,0.2687298123143136,2553531.815169336,2553741.2295477283,0.03785075867872223,0.05750331192534963,0.05746815478946665,-19701.36121424567,-19565.241868290585,,,
meanItemRT,Information value,gpt2_small,All,All,5,mean,cosine_std,0,-4.899898071362018,0.2680075411991212,0.26795416727571664,2553808.0760170273,2554017.4903954198,0.037320698800728636,0.056727723439521704,0.0566925097508697,-19425.100366554223,-19288.981020599138,,,
meanItemRT,Information value,gpt2_small,All,All,6,mean,cosine_std,0,-4.900924743086549,0.2665029651020224,0.26644948147102676,2554343.164999792,2554552.5793781844,0.036294027076198,0.05522314734242295,0.055187823946179826,-18890.01138378959,-18753.892037834506,,,
meanItemRT,Information value,gpt2_small,All,All,7,mean,cosine_std,0,-4.901791850934718,0.26522981939531864,0.26517624293169806,2554795.0912049636,2555004.505583356,0.035426919228028986,0.05395000163571917,0.05391458540685112,-18438.085178617854,-18301.96583266277,,,
meanItemRT,Information value,gpt2_small,All,All,8,mean,cosine_std,0,-4.902648564263488,0.2639697653838524,0.2639160970422002,2555241.5999113587,2555451.014289751,0.034570205899258966,0.05268994762425294,0.05265443951735327,-17991.576472222805,-17855.45712626772,,,
