y,metric,model,layer,layer_idx,horizon,aggregation,dist_metric,fold,loglik,rsquared,rsquared_adj,aic,bic,delta_loglik,delta_rsquared,delta_rsquared_adj,delta_aic,delta_bic,anova_rss,anova_delta_ss,anova_p,ias_coef
meanItemRT,Information value,gpt2_small,0,0,1,mean,cosine_std,full,-4.932124621382353,0.22005071651549457,0.2200318603086555,2856199.5039932774,2856284.1126318295,0.0062009332596684175,0.009733056187461675,0.009730564079917459,-3588.9480488076806,-3578.371968988795,326014362.5845458,4068362.105262339,0.0,51.33399917655924
meanItemRT,Information value,gpt2_small,0,0,2,mean,cosine_std,full,-4.922106891356964,0.23552185599625952,0.23550337382272268,2850398.256571035,2850482.865209587,0.01621866328505739,0.025204195668226625,0.02520207759398463,-9390.195471050218,-9379.619391231332,319547514.3123807,10535210.377427459,0.0,81.66784254957935
meanItemRT,Information value,gpt2_small,0,0,3,mean,cosine_std,full,-4.923097300257246,0.23400606332163565,0.23398754450199788,2850971.8003843706,2851056.4090229226,0.015228254384775042,0.023688402993602753,0.023686248273259825,-8816.651657714508,-8806.075577895623,320181107.02551204,9901617.66429609,0.0,93.44926905291342
meanItemRT,Information value,gpt2_small,0,0,4,mean,cosine_std,full,-4.9236452656048595,0.23316612688201488,0.23314758775590905,2851289.1260212427,2851373.7346597947,0.014680289037161565,0.022848466553981983,0.022846291527170992,-8499.326020842418,-8488.749941023532,320532195.6780346,9550529.011773527,0.0,105.84707731807889
meanItemRT,Information value,gpt2_small,0,0,5,mean,cosine_std,full,-4.924176339465116,0.2323512033237125,0.2323326444958549,2851596.6698315693,2851681.2784701213,0.014149215176905372,0.02203354299567961,0.022031348267116835,-8191.782210515812,-8181.206130696926,320872829.08848935,9209895.601318777,0.0,117.51047915658921
meanItemRT,Information value,gpt2_small,0,0,6,mean,cosine_std,full,-4.924291046633843,0.23217507348106303,0.2321565103950558,2851663.0965235652,2851747.7051621173,0.014034508008178292,0.021857413153030136,0.02185521416631775,-8125.355518519878,-8114.779438700993,320946450.3605379,9136274.329270244,0.0,129.19705361096763
meanItemRT,Information value,gpt2_small,0,0,7,mean,cosine_std,full,-4.9243402005226296,0.23209958660856744,0.23208102169757472,2851691.5614422536,2851776.1700808057,0.013985354119391502,0.021781926280534547,0.021779725468836664,-8096.890599831473,-8086.314520012587,320978003.4437207,9104721.246087432,0.0,139.77529711595022
meanItemRT,Information value,gpt2_small,0,0,8,mean,cosine_std,full,-4.924252319924607,0.2322345418433065,0.232215980195018,2851640.6699637,2851725.2786022522,0.014073234717414174,0.0219168815152736,0.021914683966279935,-8147.782078384887,-8137.205998566002,320921592.9234952,9161131.766312957,0.0,150.34879044936162
meanItemRT,Information value,gpt2_small,0,0,9,mean,cosine_std,full,-4.924236661850994,0.23225858492305496,0.2322400238560367,2851631.602404587,2851716.211043139,0.014088892791026986,0.02194092459502206,0.02193872762729865,-8156.849637498148,-8146.273557679262,320911543.05296546,9171181.636842668,0.0,159.52147028280547
meanItemRT,Information value,gpt2_small,0,0,10,mean,cosine_std,full,-4.9240442095597565,0.23255403524809148,0.2325354813239382,2851520.1536676358,2851604.762306188,0.01428134508226453,0.022236374920058588,0.022234185095200143,-8268.298374449369,-8257.722294630483,320788046.49821275,9294678.191595376,0.0,168.24920479968316
meanItemRT,Information value,gpt2_small,1,1,1,mean,cosine_std,full,-4.92831784910358,0.22596634710379915,0.2259476339144053,2853995.0097801853,2854079.6184187373,0.01000770553844088,0.015648686775766252,0.015646337685667255,-5793.4422618998215,-5782.866182080936,323541662.6585767,6541062.031231403,0.0,80.80361328942718
meanItemRT,Information value,gpt2_small,1,1,2,mean,cosine_std,full,-4.91633719110909,0.24429277258457027,0.24427450245843307,2847057.034696892,2847141.643335444,0.02198836353293121,0.033975112256537376,0.03397320622969502,-12731.417345193215,-12720.841265374329,315881321.0849884,14201403.604819715,0.0,139.7802567977341
meanItemRT,Information value,gpt2_small,1,1,3,mean,cosine_std,full,-4.921858081771526,0.23590218034025778,0.23588370736151687,2850254.171437727,2850338.780076279,0.016467472870495214,0.025584520012224887,0.025582411132778815,-9534.280604358297,-9523.704524539411,319388540.9006352,10694183.789172947,0.0,141.98428480379835
meanItemRT,Information value,gpt2_small,1,1,4,mean,cosine_std,full,-4.923775859954213,0.2329658123817474,0.2329472684127989,2851364.752947765,2851449.361586317,0.014549694687808312,0.02264815205371451,0.022645972184060836,-8423.699094320182,-8413.123014501296,320615925.99935675,9466798.690451384,0.0,153.01284177120493
meanItemRT,Information value,gpt2_small,1,1,5,mean,cosine_std,full,-4.924847642816592,0.23131986071500787,0.231301276953209,2851985.4202598026,2852070.0288983546,0.013477911825429345,0.02100220038697498,0.020999980724470957,-7803.031782282516,-7792.455702463631,321303924.4305877,8778800.259220421,0.0,164.38937298391542
meanItemRT,Information value,gpt2_small,1,1,6,mean,cosine_std,full,-4.925409634968855,0.2304553905688641,0.23043678590746552,2852310.868791194,2852395.477429746,0.012915919673165632,0.02013773024083121,0.02013548967872747,-7477.583250890952,-7467.007171072066,321665268.0328401,8417456.656968057,0.0,175.38339255853
meanItemRT,Information value,gpt2_small,1,1,7,mean,cosine_std,full,-4.925539288782602,0.23025581590739896,0.23023720642104417,2852385.951055427,2852470.559693979,0.01278626585941911,0.019938155579366068,0.019935910192306117,-7402.500986658037,-7391.924906839151,321748689.1057525,8334035.584055603,0.0,186.63959489665538
meanItemRT,Information value,gpt2_small,1,1,8,mean,cosine_std,full,-4.925702306714783,0.2300048107808058,0.22998619522610186,2852480.3544139173,2852564.9630524693,0.012623247927238346,0.019687150452772917,0.01968489899736381,-7308.09762816783,-7297.521548348945,321853607.8204491,8229116.869359016,0.0,196.59717637831503
meanItemRT,Information value,gpt2_small,1,1,9,mean,cosine_std,full,-4.925748725066503,0.22993332364745311,0.2299147063644622,2852507.235188562,2852591.843827114,0.012576829575517756,0.019615663319420218,0.019613410135724152,-7281.216853523161,-7270.6407737042755,321883489.0354287,8199235.654379427,0.0,205.56696722824302
meanItemRT,Information value,gpt2_small,1,1,10,mean,cosine_std,full,-4.92567313300095,0.23004973670871276,0.23003112224014688,2852463.459974584,2852548.068613136,0.01265242164107061,0.019732076380679864,0.019729826011408824,-7324.992067500949,-7314.415987682063,321834829.0382126,8247895.651595533,0.0,214.08269407014035
meanItemRT,Information value,gpt2_small,2,2,1,mean,cosine_std,full,-4.923869338398492,0.23282239665077442,0.23280384921457908,2851418.88612789,2851503.494766442,0.014456216243528885,0.022504736322741525,0.02250255298584103,-8369.565914195031,-8358.989834376145,320675872.95886785,9406851.730940282,0.0,123.91035944138152
meanItemRT,Information value,gpt2_small,2,2,2,mean,cosine_std,full,-4.9107177377620514,0.2527385460706183,0.2527204801311572,2843802.8205025285,2843887.4291410805,0.027607816879969604,0.0424208857425854,0.042419183902419166,-15985.631539556663,-15975.055459737778,312351035.82427746,17731688.86553067,0.0,166.8647912769287
meanItemRT,Information value,gpt2_small,2,2,3,mean,cosine_std,full,-4.917885435661361,0.24194910669330127,0.2419307799062378,2847953.620020623,2848038.228659175,0.020440118980659783,0.03163144636526838,0.03162948367749974,-11834.832021462265,-11824.25594164338,316860960.09207827,13221764.597729862,0.0,161.6879172722568
meanItemRT,Information value,gpt2_small,2,2,4,mean,cosine_std,full,-4.9197991388512925,0.239042178418706,0.23902378135317448,2849061.841710506,2849146.450349058,0.018526415790728556,0.028724518090673112,0.028722485124436425,-10726.610331579112,-10716.034251760226,318076039.5704351,12006685.119373024,0.0,170.67370198955842
meanItemRT,Information value,gpt2_small,2,2,5,mean,cosine_std,full,-4.920327741016591,0.23823726511038346,0.2382188485851099,2849367.9541672254,2849452.5628057774,0.017997813625430403,0.02791960478235056,0.027917552356371833,-10420.49787485972,-10409.921795040835,318412488.75335664,11670235.936451495,0.0,184.03932315126534
meanItemRT,Information value,gpt2_small,2,2,6,mean,cosine_std,full,-4.920559029143689,0.23788481024554842,0.23786638519925696,2849501.8926590523,2849586.5012976043,0.01776652549833191,0.02756714991751552,0.027565088970518903,-10286.559383032843,-10275.983303213958,318559812.88138926,11522911.80841887,0.0,197.63729651317544
meanItemRT,Information value,gpt2_small,2,2,7,mean,cosine_std,full,-4.920646769200357,0.2377510624509077,0.23773263417110335,2849552.7027503885,2849637.3113889406,0.01767878544166379,0.027433402122874817,0.027431337942365297,-10235.749291696586,-10225.1732118777,318615718.69852406,11467005.991284072,0.0,210.22295068663325
meanItemRT,Information value,gpt2_small,2,2,8,mean,cosine_std,full,-4.920737332487435,0.2376129864080906,0.2375945547901327,2849605.1477688085,2849689.7564073605,0.01758822215458622,0.02729532608005769,0.02729325856139464,-10183.30427327659,-10172.728193457704,318673433.6987688,11409290.991039336,0.0,222.1115494114494
meanItemRT,Information value,gpt2_small,2,2,9,mean,cosine_std,full,-4.920840933556415,0.23745500182206525,0.23743656638464106,2849665.142940653,2849749.751579205,0.017484621085605667,0.027137341494032352,0.027135270155903002,-10123.309101432096,-10112.73302161321,318739470.356795,11343254.333013117,0.0,232.37269312530316
meanItemRT,Information value,gpt2_small,2,2,10,mean,cosine_std,full,-4.920852454418189,0.23743743126859518,0.23741899540638178,2849671.8146486646,2849756.4232872166,0.01747310022383175,0.027119770940562282,0.027117699177643728,-10116.637393420562,-10106.061313601676,318746814.748169,11335909.941639125,0.0,241.57366920733176
meanItemRT,Information value,gpt2_small,3,3,1,mean,cosine_std,full,-4.924220037099466,0.23228411151910378,0.23226555106922153,2851621.9750442263,2851706.5836827783,0.01410551754255529,0.02196645119107088,0.021964254840483477,-8166.476997858845,-8155.900918039959,320900873.0810634,9181851.60874474,0.0,149.3923515638545
meanItemRT,Information value,gpt2_small,3,3,2,mean,cosine_std,full,-4.9076402944822215,0.25732373043037104,0.2573057753432263,2842020.6792540653,2842105.2878926173,0.030685260159799554,0.04700607010233815,0.04700447911448824,-17767.77278801985,-17757.196708200965,310434454.8516031,19648269.83820504,0.0,212.2697444238191
meanItemRT,Information value,gpt2_small,3,3,3,mean,cosine_std,full,-4.915101247464683,0.24615848880393654,0.24614026378372056,2846341.3022043034,2846425.9108428555,0.0232243071773377,0.03584082847590364,0.035838967554982504,-13447.149837781675,-13436.57375796279,315101462.3212199,14981262.36858821,0.0,209.2856869198419
meanItemRT,Information value,gpt2_small,3,3,4,mean,cosine_std,full,-4.917543966418102,0.24246663208394437,0.24244831780867626,2847755.8758647903,2847840.4845033423,0.020781588223918845,0.03214897175591147,0.032147021579938206,-12032.576177294832,-12022.000097475946,316644637.4235093,13438087.26629883,0.0,219.89917543793723
meanItemRT,Information value,gpt2_small,3,3,5,mean,cosine_std,full,-4.918256745517828,0.24138595407826446,0.241367613676313,2848168.644815883,2848253.253454435,0.020068809124192732,0.031068293750231568,0.03106631744757493,-11619.807226201985,-11609.2311463831,317096354.6808249,12986370.008983254,0.0,237.73837572413578
meanItemRT,Information value,gpt2_small,3,3,6,mean,cosine_std,full,-4.9187012549826745,0.2407112319551964,0.24069287524103045,2848426.059357957,2848510.667996509,0.019624299659346534,0.030393571627163496,0.03039157901229239,-11362.392684128135,-11351.81660430925,317378384.68909794,12704340.00071019,0.0,255.6352501744596
meanItemRT,Information value,gpt2_small,3,3,7,mean,cosine_std,full,-4.919109640246634,0.24009081393220166,0.24007244221868795,2848662.554447545,2848747.163086097,0.019215914395386946,0.029773153604168767,0.0297711459899499,-11125.897594539914,-11115.321514721029,317637715.89253074,12445008.797277391,0.0,271.099869522594
meanItemRT,Information value,gpt2_small,3,3,8,mean,cosine_std,full,-4.919507798708652,0.2394854443855734,0.2394670580365268,2848893.127216583,2848977.735855135,0.01881775593336865,0.029167784057540502,0.029165761807788737,-10895.324825502,-10884.748745683115,317890756.91846824,12191967.771339893,0.0,285.06536620615964
meanItemRT,Information value,gpt2_small,3,3,9,mean,cosine_std,full,-4.919880514539157,0.23891832140767266,0.23889992134774973,2849108.9662085967,2849193.5748471487,0.018445040102863963,0.028600661079639766,0.028598625119011678,-10679.485833488405,-10668.909753669519,318127811.0963006,11954913.593507528,0.0,296.55387861055095
meanItemRT,Information value,gpt2_small,3,3,10,mean,cosine_std,full,-4.9200694400792235,0.2386306915361871,0.23861228452246797,2849218.3726109983,2849302.9812495504,0.01825611456279752,0.028313031208154205,0.02831098829372991,-10570.079431086779,-10559.503351267893,318248038.7459674,11834685.943840742,0.0,306.98551689227713
meanItemRT,Information value,gpt2_small,4,4,1,mean,cosine_std,full,-4.925417564354536,0.23044318643990436,0.23042458148345635,2852315.460682583,2852400.069321135,0.012907990287485127,0.02012552611187146,0.020123285254718293,-7472.991359502077,-7462.415279683191,321670369.2893037,8412355.40050441,0.0,156.91192315049645
