y,metric,model,layer,layer_idx,horizon,aggregation,dist_metric,fold,loglik,rsquared,rsquared_adj,aic,bic,delta_loglik,delta_rsquared,delta_rsquared_adj,delta_aic,delta_bic,anova_rss,anova_delta_ss,anova_p
meanItemRT,Information value,gpt2_small,0,0,All,mean,cosine_std,full,-4.917114285124506,0.24311734827835207,0.24307552173611313,2847525.0482870312,2847704.8416439546,0.021211269517515063,0.03279968795031918,0.03277422550737508,-12263.403755053878,-12157.642956863623,316372641.75682247,13710082.932985663,0.0
meanItemRT,Information value,gpt2_small,1,1,All,mean,cosine_std,full,-4.9114155733980684,0.25169488659334205,0.2516535340595478,2844224.9357236745,2844404.729080598,0.026909981243952608,0.04137722626530915,0.04135223783080977,-15563.516318410635,-15457.75552022038,312787279.5473558,17295445.14245236,0.0
meanItemRT,Information value,gpt2_small,2,2,All,mean,cosine_std,full,-4.907861246265067,0.2569954666135472,0.2569544069982571,2842166.6319896076,2842346.425346531,0.030464308376954463,0.04667780628551432,0.04665311076951906,-17621.82005247753,-17516.059254287276,310571667.2592141,19511057.430594027,0.0
meanItemRT,Information value,gpt2_small,3,3,All,mean,cosine_std,full,-4.904616443054298,0.26180166158006835,0.26176086756277595,2840287.572939858,2840467.366296781,0.03370911158772305,0.05148400125203545,0.05145957133403789,-19500.879102227278,-19395.118304037023,308562705.11046106,21520019.579347074,0.0
meanItemRT,Information value,gpt2_small,4,4,All,mean,cosine_std,full,-4.9047332749760075,0.26162915116509133,0.26158834761459826,2840355.230072056,2840535.0234289793,0.033592279666013525,0.05131149083705844,0.051287051385860205,-19433.221970029175,-19327.46117183892,308634813.48233706,21447911.207471073,0.0
meanItemRT,Information value,gpt2_small,5,5,All,mean,cosine_std,full,-4.906043544519328,0.2596916839998663,0.2596507733818483,2841114.0045440537,2841293.797900977,0.03228201012269327,0.04937402367183341,0.04934947715311022,-18674.447498031426,-18568.68669984117,309444663.7332116,20638060.956596553,0.0
meanItemRT,Information value,gpt2_small,6,6,All,mean,cosine_std,full,-4.90805126991667,0.2567130360792045,0.2566719608563527,2842276.6743062036,2842456.467663127,0.030274284725351208,0.046395375751171586,0.04637066462761463,-17511.777735881507,-17406.016937691253,310689721.61553943,19393003.0742687,0.0
meanItemRT,Information value,gpt2_small,7,7,All,mean,cosine_std,full,-4.907367275403735,0.25772914931472835,0.25768813024391424,2841880.5744517525,2842060.367808676,0.03095827923828587,0.04741148898669545,0.04738683401517618,-17907.877590332646,-17802.11679214239,310264992.06477547,19817732.625032663,0.0
meanItemRT,Information value,gpt2_small,8,8,All,mean,cosine_std,full,-4.907251873717825,0.25790044816078106,0.2578594385562143,2841813.7455662447,2841993.538923168,0.031073680924196267,0.047582787832748163,0.04755814232747624,-17974.706475840416,-17868.94567765016,310193390.121816,19889334.56799215,0.0
meanItemRT,Information value,gpt2_small,9,9,All,mean,cosine_std,full,-4.908906419246946,0.25544070565804866,0.25539956012418896,2842771.889573068,2842951.6829299913,0.029419135395075457,0.045123045330015765,0.04509826389545091,-17016.562469017226,-16910.80167082697,311221548.49202156,18861176.19778657,0.0
meanItemRT,Information value,gpt2_small,10,10,All,mean,cosine_std,full,-4.912889800798981,0.24948528693690397,0.24944381229710944,2845078.657863088,2845258.4512200113,0.02543575384304031,0.039167626608871076,0.03914251606837138,-14709.794178997166,-14604.033380806912,313710879.63112324,16371845.058684886,0.0
meanItemRT,Information value,gpt2_small,11,11,All,mean,cosine_std,full,-4.915151786886736,0.24608228752426498,0.24604062482929656,2846388.569482535,2846568.3628394585,0.023173767755285013,0.03576462719623208,0.035739328600558506,-13399.882559549995,-13294.12176135974,315133314.0225373,14949410.66727084,0.0
meanItemRT,Information value,gpt2_small,12,12,All,mean,cosine_std,full,-4.910626373849462,0.25287507905642737,0.25283379174195064,2843767.911843476,2843947.7052003993,0.027699180792558842,0.04255741872839447,0.04253249551321259,-16020.540198609233,-15914.779400418978,312293965.81308204,17788758.87672609,0.0
meanItemRT,Information value,gpt2_small,0,0,All,mean,cosine_std,0,-4.915920755875103,0.24417068207446657,0.24412427249462332,2562152.906913033,2562330.909134667,0.021298014287643774,0.032890864314867096,0.03286261496977638,-11080.269470548257,-10975.562281352002,,,
meanItemRT,Information value,gpt2_small,1,1,All,mean,cosine_std,0,-4.9100637522329835,0.2529728174208502,0.2529269483114458,2559100.3068988044,2559278.309120438,0.027155017929763048,0.04169299966125073,0.04166529078659886,-14132.869484777097,-14028.162295580842,,,
meanItemRT,Information value,gpt2_small,2,2,All,mean,cosine_std,0,-4.906504859200359,0.2582711186351453,0.25822557485306996,2557245.454556917,2557423.4567785505,0.030713910962387736,0.046991300875545816,0.046963917328223026,-15987.721826664638,-15883.014637468383,,,
